Label,Median,25th Percentile,75th Percentile,Standard Deviation,Mean,Min,Max
subcortex,0.0024316948594607798,0.0013140709120448536,0.0032758858696229276,0.0014998472231549979,0.0024529323691503935,0.0006052690261539932,0.005128858590041732
cerebral_cortex,0.0010806471532666421,7.498368002258333e-05,0.001982656715891247,0.0011784352705273078,0.0011703335156465946,0.0,0.002972882372660068
frontal_lobe,1.757561910118284e-05,0.0,0.003989665535968505,0.0019958454963041475,0.001570088639705667,0.0,0.004253299822486247
temporal_lobe,1.6221652661973202e-05,0.0,0.00283878921584531,0.0031011473711097344,0.0020790751495095654,0.0,0.007786393277747137
hippocampus_and_amygdala,0.0,0.0,0.03270223752151463,0.061236118547003324,0.03380187416331995,0.0,0.14400458978772232
basal_ganglia,0.0,0.0,0.0,0.0035296523007226025,0.0010189228529839884,0.0,0.01222707423580786
brainstem,0.0,0.0,0.0005070993914807302,0.018528150905282332,0.007606490872210953,0.0,0.06017579445571332
thalamus,0.0,0.0,0.0,0.0008300032622047524,0.00023960130343109068,0.0,0.002875215641173088
cerebellum,0.0,0.0,3.415067276825353e-05,0.0056848741010319705,0.0023791635361883295,0.0,0.017348541766272797
parietal_lobe,0.0,0.0,6.42822246792317e-05,0.0021417837777366806,0.0009170930720903723,0.0,0.006453935357794862
insular_lobe,0.0,0.0,0.000807899461400359,0.014297086600619312,0.006403351286654697,0.0,0.03698384201077199
occipital_lobe,0.0,0.0,0.0,0.0016192026799463199,0.00047124690524420434,0.0,0.005612761647535449
